st_fee_gen_date,class_name,section_name,st_fee_total_receipt_amount
00:00.0,Nursery,TULIP,1800
00:00.0,Hifz Girls,D,2050
00:00.0,Hifz Girls,D,2050
00:00.0,Hifz Girls,D,2050
00:00.0,Hifz Girls,D,2400
00:00.0,Hifz Girls,D,2100
00:00.0,Hifz Girls,D,2050
00:00.0,Hifz Girls,E,2050
00:00.0,Hifz Girls,D,2050
00:00.0,Hifz Girls,E,2050
00:00.0,Hifz Girls,D,2050
00:00.0,Hifz Boys,B,2050
00:00.0,Hifz Boys,B,2050
00:00.0,Hifz Boys,B,2050
00:00.0,Hifz Boys,B,2050
00:00.0,Hifz Boys,B,2050
00:00.0,Hifz Boys,B,2050
00:00.0,Hifz Boys,B,2050
00:00.0,Hifz Boys,B,2050
00:00.0,Hifz Boys,B,2050
00:00.0,Hifz Boys,B,2050
00:00.0,Hifz Boys,B,2050
00:00.0,Hifz Boys,B,2050
00:00.0,Hifz Boys,B,2050
00:00.0,Hifz Boys,B,2050
00:00.0,Hifz Boys,B,2050
00:00.0,Hifz Boys,B,2050
00:00.0,Hifz Boys,B,2050
00:00.0,Hifz Boys,B,2050
00:00.0,Hifz Boys,B,2050
00:00.0,Hifz Boys,B,2050
00:00.0,Hifz Boys,B,2050
00:00.0,Hifz Boys,B,2050
00:00.0,Hifz Boys,B,2050
00:00.0,Hifz Boys,B,1800
00:00.0,Hifz Boys,B,2050
00:00.0,Hifz Boys,B,2050
00:00.0,Hifz Boys,B,2050
00:00.0,Hifz Boys,B,2050
00:00.0,Hifz Boys,B,2050
00:00.0,Hifz Boys,B,2050
00:00.0,Hifz Boys,B,2050
00:00.0,Hifz Boys,B,2050
00:00.0,Hifz Boys,B,2050
00:00.0,Hifz Boys,B,2050
00:00.0,Hifz Boys,C,2050
00:00.0,Hifz Boys,C,2050
00:00.0,Hifz Boys,C,2050
00:00.0,Hifz Boys,C,2050
00:00.0,Hifz Boys,C,350
